FILM	DATE	DIRECTOR	ATROCITY, GENOCIDE	DATA STATE	LANGUAGE	DURATION	PRODUCER	COUNTRY	ACQUIRED	LINKS	COMMENTS	PERP REPR	PERP GROUPS	PERP GENDER	VIOLENCE RATIONALE/CAUSES	COLLABORATOR GROUPS	VICTIM REPR	VICTIM GROUPS	VICTIM GENDER INTERVIEWS	SEXUAL VIOLENCE	DOC TYPE	RATINGS	AWARD
Aufschub	2007	Harun Farocki	Holocaust	0	de			Germany															
Die Wehrmacht - Eine Bilanz	2007	Ingo Helm, Guido Knopp	Holocaust	0	de	450		Germany		https://www.youtube.com/watch?v=LbT_6rjtZpE&ab_channel=Achtermeyer ; https://www.youtube.com/watch?v=ciIpe56FT6E&ab_channel=HistorychannelHD ; https://www.youtube.com/watch?v=yXdkbIBcnq0&ab_channel=BesterDokumentarfilmHD ; https://www.youtube.com/watch?v=AVCtiE01bSA&ab_channel=DokumaniaDE ; https://www.youtube.com/watch?v=ceTKUYR8Pl8&ab_channel=DokumaniaDE	[features among experts Sönke Neitzel, 5-part docuseries with episodes: Angriff auf Europa; Wende des Krieges; Verbrechen der Armee; Widerstand in Uniform; Kampf bis zum Untergang] v-o opens with German army having overrun Europe, German soldiers having to confront their conscience and only few drawing the right conclusions, mentions 10 mio fight at the Eastern front and notes that it was an annihilatory war, asks if this was AH's war or whether it was the war of the Wehrmacht; archival footage of massacres; various soundbytes by old white male interviewees variously saying they had to do their duty, that the Wehrmacht was "clean", that there were evil soldiers ("Schweinehund"); v-o notes the state of research and that some were criminals while others followed their conscience; then talks about the secret recordings of prisoners by British secret service; then reenactment with General Heinrich Eberbach talking about extermination of Jews who says "die Frauen und die Kinder, das musste nicht sein, das ist das, was zu weit geht" but his son Heinz Eugen Eberbach says differently that they should have just kept it a secret; then Neitzel interviewed who says that the protocols were contradictory in that many of the interviewees acknowledge that these were crimes against humanity ("Verbrechen gegen die Menschlichkeit") but oddly don't fully acknowledge that as generals they had power to stop or at least mitigate the extent; then v-o talks about how soldiers could be radicalized by losing their friend; then old white male Max Gotthardt, soldier, talks about losing his friend, v-o says Gotthardt grew up in middle class as son of a protestant pastor and volunteers for war, even though parents opposed and also opposed to Nazis; then old white male Peter Schilling, also soldier, who wanted to go to navy because of the nice uniforms but was rejected because he was myopic, then 6 months later they would have accepted him but he no longer wanted, instead drafted to fight in East; then v-o talks about AH's notion of Lebensraum and war of annihilation; then v-o about Wilhelm Keitel with archival footage of AH with Keitel who issues Comissarbefehl to kill Soviet commissars; then old white male Horst Kühne, soldier, who talks about their officer who read out the command but also said that everyone should draw their own conclusions in accordance with their conscience ("was man davon zu halten hat, muss er mit seinem Gewissen abmachen"); then Felix Römer, historian, who researched extent to which commissar order was executed, who says that in 80% of divisions the documents state that the commissar oder was executed; then v-o about general Walter von Reichenau (6th army) who, unusually, supports Nazis before 1933 (over archival footage of Reichenau); then historian Timm Richter about Reichenau who was afraid that German attack against France would be devastating for Germany but couldn't deter AH and so leaked plans of invasion to British intelligence, but later, at the Eastern front, was willing executer of AH's orders; then German army takes Ukrainian town Bilazerkwa and SS starts executing Jews; interview with old white woman Tatjana Kishakovskaja in German synchro who lived in town, aged 12 then, talks about murder of Jews; v-o about how orphaned (from executions) Jewish infants and children were put into a house; Reinhold Emmer, soldier in Bilazerkwa, talks about the kids (with sepia-colored footage of area today); Großkurt, local commander, writes letter about the 90 children in house who lived in their filth without provision of food, water, hygiene, care; then v-o about discussion of what to do with children with decision eventually left to Reichenau who writes to Großkurt that all children are to be executed; v-o notes that there are so many massacres and victims in East that the murderousness could not have been invisible; then v-o introes infantry general Dietrich von Choltitz who was British prisoner; then reenactment with actor reenacting what Choltitz said in secret recordings, talks about the conquest of Sevastopol where Jews were killed for several days, then talks about his most difficult order which he executed with "größter Konsequenz" and which was to liquidate Jews; then v-o talks about persecution of Jews in Sevastopol by EG D and with support of Wehrmacht; interview with Wladimir Petrov, inhabitant of Sevastopol at the time, with German synchro, talks about Jewish classmates and then German executions of Jews, says he offered to hide his friend Jakov, but Jakov didn't want to leave his parents and was killed; then Römer who says most of Jewish killings were predominantly executed by EG and SS, but genocide would not have been possible without Wehrmacht; interivew with soldier Bruno Menzel who talks about how his unit had secure area for SS to kill Jews in Krupki, but they were told they didn't have to participate and thus he opted out; then old white woman Sofija Schalaumowa, inhabitant of Krupki, who says they were to be executed as family; back to Menzel about massacres at mass grave with SS killing Jews; Schalaumowa survives the massacre, she recounts circumstances, she fell in and wasn't shot; then Schilling about soldier beating up pregnant Jewish woman and her child in the Stalino area; then Generalleutnant Heinrich Kittel in reenactment of secret recording talks about witnessing a massacre and his despise for EG and SS, even though he was a fervent Nazi, orders that all executions should be stopped unless they are carried out in more secrecy and with more security for drinking water; then Neitzel interviewed says that Wehrmacht participated at all the major crimes of Nazis, i.e. the killing of Jews, Soviet POWs, euthanasia of disabled [first time the latter two are mentioned]; reenactment of recording of Oberst Eberhard Wildermuth, drinking tea with other general of German infantry Edwin von Rothkirch, who says SS was unworthy of German officer standards, but says that German officer corps should officially state that they distance themselves from SS, and says he is doubtful that court will believe that German army officers wouldn't have acted the same as the SS, but Rothkirch says that everything he testifies to at court has purpose to clean up image of officers ("reinwaschen"); v-o says unknown to date how many soldiers participated in crimes, but even if it was, conservatively speaking, only 5% that would mean 500,000 soldiers at the Eastern front alone; v-o mentions Jews and Russians and others as subhumans and says that this race ideology was widespread among Wehrmacht; tank general Wilhelm Ritter von Thoma who talks about officer shooting peasants at whose table he was dining, including a boy, girl, and 2 month old baby (which was thrown naked into snow), Thoma says he reported this and asked the officer to be publicly executed but officer instead was transferred to penal company ("Strafkompanie"); then Schilling interviewed who fleed to Swiss border; then Serbian uprising and partisans in 1941 in Yugoslavia with Wehrmacht mass executing 20 000 civilians; then reenactment of recording Oberst Eberhard Wildermuth (April 1945) where he is shining shoes while the other is shaving while Wildermuth says he had to kill 100 "Leute" for every dead German, but claims not to have participated, with total murder there amounting to 2400, but then says he passed on the order to kill and thus faces trial and says he had to do it for otherwise he'd have been executed; then killing of civilians in Pancevo in response to partisan attacks; interview with old white male Vitomir Sudarski (in Serbo-Croatian) who is introed as inhabitant of Pancevo who talks about executions of civilians by Wehrmacht regiment Großdeutschland (Panzergrenadiere), then archival footage of hangings of Serbians by a Volksdeutsche volunteer followed by archival footage of Wehrmacht execution by shooting; then reenactment of conversation (November 1944) between Generalleutnant Ferdinand Heim and Generalleutnant Otto Elfeld where Heim says Babi Yar was a crime and Elfeld concurs and says you cannot behave like a wild animal ("wildes Tier"); then reenactment of conversation (October 1944) between infantry general Dietrich von Cheltitz with unknown who says they are guilty ("mitschuldig") because they participated with the Nazis and says he is deeply ashamed ("aufs äußerste beschämt") because he drilled his soldiers to believe this utter nonsense ("Mist") upon which the others in the room leave; then interview with soldier Max Gotthard who talks about fighting in Italy where they faced partisans; v-o talks about partisan attacks; Gotthard again reporting on reprisal actions when two Germans were killed; v-o talks about village Valluciole being targeted for reprisal; interview with old white male Alfredo Gambineri, inhabitant of Valluciole, who talks aboutt what happened to him and fellow inhabitants, including several children and mothers shot (with archival photos); v-o says 108 civilians were killed, including 22 children and 43 women, says this was not an exception and that in Italy until end of WWII 10 000 civilians were killed; Gotthard says he was merely observer but says he returned as murderer; then v-o about AH command to destroy Paris but Choltitz refuses and secretly agrees ceasefire with resistance, v-o notes that good and evil are close together given that Choltitz had ordered to kill Jewsl; then reenactment in which Choltitz says he wouldn't have been able to burn down Paris anyway with his lack of resouces, then his monocle drops to ground and when other soldier tries to pick it up, Choltitz steps on it; then v-o says Choltitz released 1947 and lived until 1966 when he was buried with military honors, Wildermuth joins FDP party and was minister of housing ("Minister für Wohnungsbau") until his death in 1952, Gotthard was American POW and became librarian, Schilling joins resistance in France during WWII and faced political difficulties in both parts of Germany and lives in the Netherlands since 1962; v-o talks about resistance in higher ranks of Wehrmacht and asks whether they were motivated by their moral conscience or simply the trajectory of the war? ends on this question to prep next episode on Wehrmacht resistance, credits roll	archival, direct, reenactment	Wehrmacht (main)	M	antisemitism, fighting partisans		Jews (main), Soviet POWs (briefly), disabled, Serbian civilians						
Was Bleibt (What Remains)	2008	Birthe Templin, Gesa Knolle	Holocaust	0	de	58		Germany			[descendants of perpetrator (female guard at Ravensbrück) and first and second generation victim come together; http://www.wasbleibt-film.de/en/movie.html]	archival		F, M?			archival, direct		F				
Hitler's Hidden Holocaust	2009		Holocaust	0	en	60	National Geographic, CBS	US			on EG and Père Desbois	archival	EG	M									
Einsatzgruppen: The Nazi Death Squads	2009	Michaël Prazan	Holocaust	0.75	en, fr	183		France	DVD		[historical adviser Christian Ingrao] historical v-o narrative starts with annihilation of Barbarossa campaign without prelude of deportations/displacement of Jews in Poland, progression from deporting Jews to Madagascar to annihiliating them not as clearly narrated; archival footag eof Ukrainian pogroms 1919; footage of pogroms in Baltic states and Ukrainian during operation Barbarossa; photos of Lithuanians in Kaunas, encouraged by Germans, who also took photos of killings of Jews with clubs, some but much more elaborate and explicit footage than "Auschwitz" and "Nazis Warning"; usually captions state/country where the shooting of footage took place (esp. when footage of killings); footage of Liepaja shootings; until July-August 1941 only Jewish men killed, then transition to killing women and children; hidden camera (indicated by captions) with footage of interview with Heinrich Wulfies who was with the Fegelein SS Cavalry Brigade; while EG members were typically lower class, their leaders were usually carefully selected intellectuals and well-trained career officers in SS; archival photos of mass graves with women; footage of ghetto, esp. children; photos of Ponary forest killings taken by Wehrmacht soldier Otto Schroff; photos of Herero genocide, then methods of starvation used also on Soviet POWs; photos of Friedrich Jeckeln's "Sardinenpackung" [=killing Jews and laying their corpses head to toe to maximise use of space]; footage of Jeckeln; Serbia not covered by EG commands so Wehrmacht was recruited for killing Jews; footage of Babi Yar; footage of early carbon monoxide gas experiments on Soviet ground [shown in many docs since late 90s]; overall more than 20 gas vans used by EG late; footage from Eichmann trial; interview and description of massacre photos; interview of Lithuanian rifleman and perp Juozas Aleksynas deployed in Belarus; interviewees have individual backgrounds and interviewers' questions are not edited out [like Auschwitz, and The Nazis Warning] esp. in moments when interviewer probes further; drawings of corpse removals of Sonderaktion 1001; home video by German solider burning pets; interview with perp Lukas Reiter from W-SS; footage of survivor testimony at Soviet war crime trial against Nazis in 1943 Ukraine; footage of Jeckeln at trial in 1946; footage of Nazis being hanged by Soviets, their struggle against suffocation not fully shown but edited out; most German EG returned to jobs with police with only 200 of 3000 EG members tried; aftermath of cold war meant Ukraine was looking to nationalist movements and Ukrainian SS members buried in well-preserved mausoleums; Lithiania did not try participants in mass murder such as Saugumas; fall of Russia led to nationalism and occasional killings similar to EG [video shown, also shown in Soviet Story]; 	direct, archival	SS, EG, German police, Wehrmacht, Lithuanian auxiliaries, Ukrainian auxiliaries	M	racism	locals in occupied territories	archival, direct	Jews	F, M	FALSE?	H		
Dzieci Wehrmachtu	2009	Janusz Chodnikiewicz	Holocaust	0	en, Polish	90		Poland		https://www.youtube.com/watch?v=hDX9rxd1PcI&ab_channel=WuGie	[plot description: During the World War II Alojzy Lysko's father was forced into the Wehrmacht Army. As many as 300 thousand were coerced into the German uniform from the region of the Polish Silesia. Some were fortunate enough to cross the Western front and join the Polish Army. Able to perish in a Polish uniform, history remembered them with gratitude. Those who did not have the same luck, like Lysko, perished on the Eastern front or came back mutilated from Russian captivity only to be forgotten. Today, a well know activist from Silesia, Alojzy Lysko, collects narratives from these forgotten soldiers with the hope of getting closer to his father. On the boundless Ukrainian steppe he finds his father's grave]												
Shoah par balles	2009	Romain Icard	Holocaust	0.5	de, fr	88		France	DVD		on Debois' mission, shows Liepaja footage in full with added sound and mentions provenance and rarity of such footage; protagonist is Patrick Debois; shows process of evidence gathering; intervieweing locals; signs of locals' having hunted for treasures in mass graves; discusses Ukrainian involvement in killings	archival	EG, SS	M	racism	Ukrainian locals	archival	Jews		FALSE?	H		
A Film Unfinished	2010	Yael Hersonski	Holocaust	0.5	en	90		Israel, Germany	DVD		footage by perpetrators & reenactments	archival		M			direct, archival				T		
Liebe Geschichte (Love History)	2010	Simone Bader, Jo Schmeiser	Holocaust	0	de, en	98		Austria			[about how descendants of perpetrators (female and male) cope with their parents' history]	archival		F, M									
Hitler: The Untold Story	2010	José Delgado	Holocaust	0	en	330		US	DVD			archival											
The Karski Report	2010	Claude Lanzmann	Holocaust	1	en, de	59		France	DVD			none		None			none			FALSE	T		
Third Reich: The Rise & Fall	2010		Holocaust	0	en	180		US															
Apocalypse: Hitler (Apocalypse: The Rise of Hitler)	2011	Isabelle Clarke, Daniel Costelle	Holocaust	1	fr, en	90	France TV	France	DVD		[historical advisor: Jean-Paul Bled] opens with AH's Mein Kampf with footage of book with Jewish corpses superimposed; then AH's DOB and DOD given, v-o asks how the Austrian became conqueror of Germany, how did he "semé la haine et la violence", how they then "basculer le monde dans l'apocalypse" over montage of marches and destruction and how Hitler "a-t-il été possible?"; then AH quote in Mein Kampf on WWI being his most sublime experience over WWI footage; AH becomes nationalist and  then 15 years later speech at Siemens where AH declares he was once one of the workers now in audience; then back in WWI AH temporarily blinded by gas attack and relocated to hospital, meanwhile Germans lose WWI with footage of German soldiers being marched through French villages in humiliation and footage of German soldier's pipe taken away by French soldier; v-o mentions rumor that war was lost on home front; then footage of doctor inspecting traumatised WWI soldiers with neurotic twitch while v-o talks about AH's vision that he was to lead and liberate Germany; AH decides to become politician, then quote by AH from Mein Kampf: "Si l'on avait au début et au cours de la guerre, tenu une seule fois 15 000 de ces Hébreux corrupteurs du peuple sous le gas empoissoné le sacrifice de millions d'hommes n'eut pas été vain"; then Hindenburg and Ludendorff order census of Jews in German military because they are not "patriote" (with footage of marching imerpial army); then Jews, either the poor from the ghetto or the assimilated bourgeois, function as scapegoat for any crises; then pogroms in Russia at beginning of 20th century (with footage); then discusses the question if AH himself was Jewish and v-o says AH coudn't prove that he wasn't which is described as state secret; then AH's childhood in Austria; then swastika like cross at his local monastery, followed by v-o explanation of original meaning of swastika; then AH not meeting his own race and toughness standards, being mollycuddled by mother; then Braun footage of AH revisiting his village; father described as authoritarian and mother as the only one AH ever truly loved; then mother dies and in 1908 he moves to Vienna to become artist, where he encounters many culture which he later describes as "profanation raciale"; then AH rejected from art school and makes living copying postcards; then AH encounters Wagner esp. Rienzi; flees Austrian conscription for Germany, where he is found jubilating in crowd hearing news of declaration of war; then Spartakist uprising put down by Freikorps; AH denounces leftist comrades and gives nationalist speeches, superior writes AH has "fanatisme" and "style populiste, then v-o elaborates on AH's speaking talent; then AH's hatred for Versailles, which is described at "très dure", cites some paragraphs and mentions reparations, Germany loses 13% of territory, Alsace-Lorraine "redevient française", left-Rhine area demilitarised; then v-o says that now Polish Danzig-corridor is "declencheur de la 2ième guerre mondiale"; then footage of dismantling of German military; then early AH seen in footage of DAP demonstration; then AH socialising with old veterans in Bürgerbräukeller where he gives first speech, it is on why "nous" are "antisemites"; then AH changes name from DAP to NSDAP, then flag with red for socialism, white for nationalism, and swastika for Aryan "ennemie éternel" of Jews; founding of SA and relations to Thule society and its newspaper, renamed Völkischer Beobachter, becomes party newspaper, run by Alfred Rosenberg, Göring and Hess introed, involvement of Ludendorff with nationalists opens doors for AH; then fascist take power in Italy (with footage of early Mussolini); then 1923 France and Belgium occupy Rhine area taking reparations in form of coal and Weimar govt. calls for general strike with footage of French soldiers abusing Germans who do not lift their head for them, also footage of 15 Krupp laborers killed by the French, also mentions French assassination of Alfred Schlageter (over footage of more French abuse of civilians), mentions AH's especial hatred of French colonial troops; then footage of hungry and cold Germans, Weimar govt. has to pay strikers and prints money leading to hyperinflation; then Ludendorff and AH unify rightwing groups and veterans in Bavaria; then coup attempt with photo shown (AH in white); then flashforward to NS celebrations of killed in coup, also Blutsflagge footage; back to AH in prison; AH uses trial as stage for antisemitic and nationalist speeches, with judges favourable; AH dictates Mein Kampf to Hess, visited by Winifred Wagner (with footage); then footage of the deluxe edition of Mein Kampf [also seen in Romm] while v-o says that the book "est à l'origine de 50 millions de morts"; then AH leaves prison, but Mein Kampf is failure selling only 20 000 copies; then AH liaison with Maria Reiter; then writes 2nd volume of Mein Kampf [which is claimed is focused on Lebensraum in Russia, though it actually declares US foremost enemy force] and v-o says it had average success [though this volume was not published in AH's lifetime]; after 1933 Mein Kampf is distributed 80 million times, given to married couples and handed out by Krupp to most deserving workers with AH becoming very rich; then F. Ebert dies, then elections with Ludendorff heading NSDAP and only receiving 1% of votes; SA grows and they're described as "des fanatiques et meurtriers"; then comparison between Mussolini and AH with salutes and uniforms, SA and SS uniforms designed by Hugo Boss; AH supported by Thyssen and Henry Ford, the latter becoming the first foreigner to be decorated by the great eagle of Germany medal by the NS regime; AH chooses Nuremberg as "capitale idéologique"; then AH photographs by Hoffmann inspired by singers' gestures in Wagner's operas, but dismisses "féminine" more Bavarian ones; then footage of SA abuses of civilians, but poor election results for AH; then Göbbels, injured during putsch and morphine addict, then Goebbels and his physical shortcomings but "diabolique" intellect set against Jews and communists; then quote by Kershaw saying that without Great Depression and decline of mainstream parties, AH would have remained on the margins of politics; episode 2: "Quand Hitler sera dictateur, il appliquera ce qu'il a écrit dans son livre: Mein Kampf. 'Une race plus forte chassera les races faibles'"; then credits followed by v-o asking how AH "à réussi à prendre le pouvoir et à devenir le Führer" all over images of AH with marching crowds; then Great Depression (with footage of unemployed and ppl on street) with 6 mio unemployed; then communists vs NSDAP/SA with AH, followed by AH managing to get 100 seats in Reichstag and unifying the rightwing, some Germans despise him; then AH's affair with niece Geli Raubal who commits suicide, AH depressed and contemplating suicide, while press makes scandal out of affair, then AH's photographer introes AH to Eva Braun; then v-o mentions women's rights to vote and feminism, but Eva Braun is foremost athletic; AH above Germany campaign with Lufthansa flying him across Germany arranged by Goebbels; v-o gives quote by audience member von Spaun who claims to have been "frappé" for life when AH's gaze fell upon him; 1932 AH gains more seats but does not become president and doesn't gain majority in Reichstag; martyrdom of Horst Wessel and his song narrated vs communists and communist song, then street fights with complicity of police favoring SA; 1932 NSDAP becomes biggest party in Germany, but Hindenburg refuses to name AH chancellor; Goebbels described as having smile "maléfique"; then elections and NSDAP loses 2 mio votes and 40 seats, but AH bcomes chancellor, and gets 2 key ministries (among them police given to Göring), with images of politicians and then footage of SA under chancellor AH's window with quote of crowd = "ivresse sans vin"; then speeches by AH and a long extract of an antisemitic speech by Goebbels at same event; then burning of Reichstag and ensuing anti-communist repression with footage of SA stationed with weapons in German streets, but communists still get 12% of votes; then 16 concentration camps for communists (with footage of Dachau) with more than 100 000 inmates; then AH is given power with only socialists against, with footage of AH speech promising a.o. peace; v-o says democracy now dead in Germany; then demonstrations against AH in NYC with footage and boycotts; then German boycotts of Jewish shops, with extensive shot of SA man convincing woman not to enter shop; then quote of Jewish emigree to Palestine who says he can no longer be German; then universities purged with now anti-modern and "barbare" ideologie taking hold, followed with footage of book burnings; AH forbids unions; v-o says that Jews only makeup 500 000 of Jews in Germany, 1% of population, and Germans not entirely interested in antisemitism (over footage of Germans vacationing), most Jews emigrate; but then ghettos in the east and most German Jews deported there and finally killed in extermination camps; v-o "l'immense majorité des Allemands s'accommode de la dictature"; then HJ and BDM, and footage of German math lesson calculating the costs of disabled children to society; but Germans still  in need of propaganda - "il faut anesthésier" the German people with propaganda, then Riefenstahl; then Röhm assassination because SA too big and Röhm too close to AH and AH needs military's support (footage of AH at army exercise and meeting generals); then meeting with Mussolini talking about annexation of Austria; industrials and Goebbels also afraid of Röhm as bolshevik in disguise; v-o claims AH "pris sa décision" to "eliminer Röhm en prétextant qu'il prépare un coup d'Etat" [which is false], night of long knives and SS takes place of SA; Hindenburg dies soon after; then AH described as having succeeded in becoming like Rienzi; then Kristallnacht described as "prélude à la solution finale"; then v-o in future tense talks about AH reoccupying demilitarised zone, AH occupying Austria, participating in Spanish civil war, attacking Moscow, while claiming to want peace; v-o concludes that Germans will lose "le contact avec la réalité" and AH will start war costing 50 mio lives; end	archival	Nazis	M	racism (main), anti-communism, Lebensraum		archival	Jews		FALSE	H		
A People Uncounted	2011	Aaron Yeger	Holocaust	0	en	99	Urbinder Films	Canada															
Holokaust	2011	Maurice Philip Remy	Holocaust	0.75	de	310	ZDF	Germany	DVD		[Yehuda Bauer, Christopher Browning, Eberhard Jaeckel, Ian Kershaw, Peter Longerich as historical consultants for overall series; footage of interviewers' critical questions never shown; commentary much more evaluative e.g. "Verschwörungswahn", "hezt"; constant background music with violins and big drums; usually identifies provenance of footage with captions; survivors introed by name and then merely followed by "Jude" and location, even famous figures like Wiesenthal, whereas Germans are usually untroed by name and, if available, military rank and location of posting]; episode 1 "Menschenjagt" amateurfilm of Romanian shootings of jews; photos of Kaunas massacre with iron rods by German soldier Wilhlem Gunsilious with zoom on smashed head; footage of Soviet/Russian atrocities against Ukrainians; footage of Ukrainian massacring Jews in "Lemberg" [=Lviv]; enumeration of massacres but not much investigation of rationales and contexts; first image of AH about 50% into into 1st episode; footage of Liepaja; v-o mentions involvement of foreign units in killings, then interview with Lithuanian perp Petras Zelionka [also in Rees doc] and Jouzas Malesanas, v-o mentions for 1 German auxiliary police, there were 10 Lithuanians; Boris von Drachenfels (Ordnungspolizei) interviewed; Wiesenthal sunflower story told by Wiesenthal; episode 2 "Entscheidung" starts with introduction of David's star in Germany; disscussion of antisemtism in Germany including Dolchstoßlegende; timeline of AH coming to power and antisemitic measures; then killings of disabled; interview with "Judenreferent" in Auswärtiges Amt Fritz Gebhardt; some mention of perpetrator trauma with gas as solution, then footage of carbon monoxide gassing experiment on Soviet territory [like Liepaja footage, this one is shown in nearly all documentaries since late 1990s] but v-o describes gassing of disabled; episode 3 "Ghetto" opens with Warsaw ghetto footage; interview with Hippler about his film "ewiger Jude"; interview with son of Hans Frank who describes his father as "hochgebildet" and "unendlicher Verbrecher"; mention of Chelmno as first "Mordfabrik"; secretary of Globocnik Wilhemine Tsek [sic?] who claims that for Globocnik it was "ein Auftrag" and suggests "was wär passiert, wenn er das nicht gemacht hätte", then v-o briefly says that this is a "Lebenslüge einer Sekretärin"; chapter 4 "Mordfabriken" reenacted shots from within train from a peephole; almost exclusively focused on Auschwitz; Hans Münch doctor in Auschwitz interviewed; some mention of murderers as "normale Männer"; another witness says that perps were "Monster"; 1/4 into the episode v-o mentions aftermath of perps; then mention of deportation of Warsaw Jews in cattle wagons; some discussion of why allies didn't bomb railways etc. with reason being that AH had armies all over Europe; modern-day sepia footage of train and station in Auschwitz; mentions victims perpetrating against other victims, with interviewees talking about a woman killing her baby; someone whose hat was stolen at night (which meant death), after being paid for homosexual intercourse with bread, stole someone else's hat; recordings of AH and Himmler overlaid onto archival footage or modern Löwenbräu footage; question of how many Germans knew with various evidence of the fact that they did, but several survivors also interviewed who themselves didn't believe NS extermination programs until too late; Sonderkommando photos shown with v-o mention of "heimlich aufgenommen" but not elaborated by whom; Morries Venezia from Sonderkommando reports about a baby that survived the gassing but was shot; only remaining gas chamber is in Majdanek; chapter 5 "Widerstand" with Karski interviewed and someone from Bletchley who reports that the murder of the Jews was not a strategic priority; mentions pro-Jewish protests (mostly by remaining Jews in Berlin) Rosenstr. which is successsful in that half of imprisoned Jews are released; Tsvi Nussbaum is claimed to be the boy in the famous Warsaw ghetto photo; Generalsekretär/Stabsoffizier Johann Graf von Kielmannsegg claims he knew about Stauffenberg plans and told him to do it soon; story of Wehrmacht officer who saved Jews back home in Berlin (story confirmed by survivor); Herta Bothe SS-guard in Belsen interviewed about revenge of victims after British liberation and says that she doesn't feel "Reue" and claims she would have ended up in KZ herself if she had not obeyed, v-o does not correct her; Weimar resident interviewed who denies the Holocaust; survivors asked what life after Holocaust means	archival, direct	SS, EG, Wehrmacht, Lithuanian auxiliaries, German police, foreign auxiliaries	F, M	racism	Soviet locals	direct, archival	Jews (main), disabled	F, M	FALSE?	H		
À propos du procès Barbie	2011	Jérôme Prieur	Holocaust	0	fr	140		France															
Irena Sendler: In The Name of Their Mothers	2011	Mary Skinner	Holocaust	0	en	60		US			[a portrait of East European Jewry on the eve of Wold War II, cf. While America Watches, p. 134]												
… dann bin ich ja ein Mörder!	2012	Walter Manoschek	Holocaust	0.75	de	70		Austria	DVD		cross-cutting between testimonies of HJ member who says Storms (= main perp) was there and Storm who denies being at the execution (around 25 min), also quick cut to historian taking notes; Storms repeatedly claims not to know/understand with zoom-in on his face eg. at 28:15 he claims not ot know, looks bedazzled and rummages around with his fingers; Manoschek reads to Storms the legal case files and verdict in the trial against HJ members who were complicit and trial says Storms was there; Storms says (30:47) "versuch das zu verarbeiten, was Sie mir erzählt haben", lowers his head, claims "hat kein Bild dazu" (32:03); the shootings were not planned by higher command and the Jews instead supposed to be evacuated, the SS men acted against these orders when they carried out executions; Manoschek recites to Storm words that Storms uttered earlier that were prompted by Manoschek's question whether Storms could imagine having participated in killings and Storms said "vorstellen kann man sich das nicht, das spürt man"; Storms claims again that he doesn't remember (34:10); occasional use of archival footage; alternating between other interview and investigations to uncover the truth and confronting Storms with it; Storms denies again that he killed a Jew in a different circumstance (52:00); Storms claims to only have followed commands (53:55); interviewer insists and grows impatient; interviewer imagines perpetrators' thought at 55:15 (and once before) to entice Storms to tell him about what they were thinking and why they killed; Storms' reaction is to appeal to interiewer to imagine the atmosphere at the time; various HJ interviewees are blaming each other; interiewer asks one of the ex-HJ boys if they would have killed the Jews had they been told to do so and one replies that no one would have "verweigert" including himself (1:04:00); Storms says "ich weiß nur, dass ich keinen ermordet hab" (1:04:30); last scene with black screen and recorded audio of Storms call with Manoschek and Storms saying "wenn das stimmt, dann bin ich ja ein Mörder"	direct	SS	M	loss of war	HJ	none?	Jews	M?	FALSE	T		
